	subject	virus tax id	taxonomy	name	seq_size	genome	order	family	genus	genome_type	genome_composition	species	virus	baltimore	segment_n	seq_n	genome_size	complete_genome
2097	NC_029935	1712572.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; unclassified Nairovirus	Yogue virus isolate DakAnD 56 envelope glycoprotein gene, complete cds	4410	Riboviria	Bunyavirales	Nairoviridae	Orthonairovirus	1.0	ssRNA	Yogue virus	Yogue virus	ssRNA(-)	3.0	4.0	22702.0	0.0
14050	NC_040758	2315803.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; unclassified Bunyavirales	Yongsan bunyavirus 1 strain YBV1/16-0052/ROK/2016 nucleocapsid protein gene, complete cds	1860	Riboviria	Bunyavirales	undefined	undefined	1.0	ssRNA	Yongsan bunyavirus 1	Yongsan bunyavirus 1	ssRNA(-)	2.0	2.0	8324.0	0.0
14051	NC_040759	2315803.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; unclassified Bunyavirales	Yongsan bunyavirus 1 strain YBV1/16-0052/ROK/2016 RNA-dependent RNA polymerase gene, complete cds	6464	Riboviria	Bunyavirales	undefined	undefined	1.0	ssRNA	Yongsan bunyavirus 1	Yongsan bunyavirus 1	ssRNA(-)	2.0	2.0	8324.0	0.0
7277	NC_007662	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 7, complete sequence	1504	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
7855	NC_007656	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 1, complete sequence	3993	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
7856	NC_007658	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 3, complete sequence	2688	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
7857	NC_007659	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 4, complete sequence	1993	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
7858	NC_007660	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 5, complete sequence	1957	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
7859	NC_007664	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 9, complete sequence	1082	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
7860	NC_007665	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 10, complete sequence	825	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
9089	NC_007661	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 6, complete sequence	1683	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
10185	NC_007663	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 8, complete sequence	1191	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
10780	NC_007657	306276.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	Yunnan orbivirus segment 2, complete sequence	2900	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	Yunnan orbivirus	Yunnan orbivirus	dsRNA	10.0	10.0	19816.0	0.0
14055	NC_040509	2382121.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Chrymotiviricetes; Ghabrivirales; Chrysoviridae; Chrysovirus; unclassified Chrysovirus	Zea mays chrysovirus 1 strain 74 putative coat protein gene, complete cds	4220	Riboviria	undefined	Chrysoviridae	Chrysovirus	1.0	dsRNA	Zea mays chrysovirus 1	Zea mays chrysovirus 1	dsRNA	3.0	3.0	11306.0	0.0
14056	NC_040510	2382121.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Chrymotiviricetes; Ghabrivirales; Chrysoviridae; Chrysovirus; unclassified Chrysovirus	Zea mays chrysovirus 1 strain 74 putative RNA-dependent RNA polymerase gene, complete cds	3713	Riboviria	undefined	Chrysoviridae	Chrysovirus	1.0	dsRNA	Zea mays chrysovirus 1	Zea mays chrysovirus 1	dsRNA	3.0	3.0	11306.0	0.0
14057	NC_040511	2382121.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Chrymotiviricetes; Ghabrivirales; Chrysoviridae; Chrysovirus; unclassified Chrysovirus	Zea mays chrysovirus 1 strain 74 hypothetical protein gene, complete cds	3373	Riboviria	undefined	Chrysoviridae	Chrysovirus	1.0	dsRNA	Zea mays chrysovirus 1	Zea mays chrysovirus 1	dsRNA	3.0	3.0	11306.0	0.0
13375	NC_043686	2303488.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Zegla orthobunyavirus	Zegla virus isolate BT5012 segment S NSs and nucleocapsid genes, complete cds	1089	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Zegla orthobunyavirus	Zegla virus	ssRNA(-)	3.0	3.0	12690.0	0.0
13376	NC_043687	2303488.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Zegla orthobunyavirus	Zegla virus isolate BT5012 segment L RNA-dependent RNA polymerase gene, complete cds	6925	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Zegla orthobunyavirus	Zegla virus	ssRNA(-)	3.0	3.0	12690.0	0.0
13377	NC_043688	2303488.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Zegla orthobunyavirus	Zegla virus isolate BT5012 segment M glycoprotein precursor, gene, complete cds	4676	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Zegla orthobunyavirus	Zegla virus	ssRNA(-)	3.0	3.0	12690.0	0.0
2102	NC_029901	1764086.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Zerdali phlebovirus	Zerdali virus strain 37 segment L, complete sequence	6403	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Zerdali phlebovirus	Zerdali virus	ssRNA(-)	3.0	3.0	12512.0	0.0
2103	NC_037612	1764086.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Zerdali phlebovirus	Zerdali virus strain 37 segment M, complete sequence	4202	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Zerdali phlebovirus	Zerdali virus	ssRNA(-)	3.0	3.0	12512.0	0.0
2104	NC_037613	1764086.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Zerdali phlebovirus	Zerdali virus strain 37 segment S, complete sequence	1907	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Zerdali phlebovirus	Zerdali virus	ssRNA(-)	3.0	3.0	12512.0	0.0
1805	NC_031759	83872.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Tospovirus;Zucchini lethal chlorosis tospovirus;Zucchini lethal chlorosis virus	Zucchini lethal chlorosis virus isolate ZLCV-SP segment S, complete sequence	3569	Riboviria	undefined	undefined	Zucchini lethal chlorosis tospovirus	1.0	ssRNA	Zucchini lethal chlorosis orthotospovirus	Zucchini lethal chlorosis virus	ssRNA(-)	3.0	4.0	20838.0	0.0
3692	NC_031758	83872.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Tospoviridae; Orthotospovirus; Zucchini lethal chlorosis orthotospovirus	Zucchini lethal chlorosis virus isolate ZLCV-SP segment M, complete sequence	4860	Riboviria	Bunyavirales	Tospoviridae	Orthotospovirus	1.0	ssRNA	Zucchini lethal chlorosis orthotospovirus	Zucchini lethal chlorosis virus	ssRNA(-)	3.0	4.0	20838.0	0.0
3693	NC_031759	83872.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Tospoviridae; Orthotospovirus; Zucchini lethal chlorosis orthotospovirus	Zucchini lethal chlorosis virus isolate ZLCV-SP segment S, complete sequence	3524	Riboviria	Bunyavirales	Tospoviridae	Orthotospovirus	1.0	ssRNA	Zucchini lethal chlorosis orthotospovirus	Zucchini lethal chlorosis virus	ssRNA(-)	3.0	4.0	20838.0	0.0
3694	NC_031762	83872.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Tospoviridae; Orthotospovirus; Zucchini lethal chlorosis orthotospovirus	Zucchini lethal chlorosis virus isolate ZLCV-SP segment L, complete sequence	8885	Riboviria	Bunyavirales	Tospoviridae	Orthotospovirus	1.0	ssRNA	Zucchini lethal chlorosis orthotospovirus	Zucchini lethal chlorosis virus	ssRNA(-)	3.0	4.0	20838.0	0.0
0	NC_035203	2016035.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes;Tymovirales; Betaflexiviridae; Quinvirinae; Foveavirus.	Grapevine virus T isolate Cho replicase (ORF1), TGB1 (ORF2), TGB2 (ORF3), TGB3 (ORF4), and CP (ORF5) genes, complete cds	8701	Riboviria	undefined	undefined	 Quinvirinae					dsRNA	0.0	0.0	8701.0	1.0
6	NC_045512	2697049.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes;Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae;Betacoronavirus; Sarbecovirus	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	30277	Riboviria	undefined	undefined	Betacoronavirus	0.0	ssRNA	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	ssRNA(+)	0.0	0.0	30277.0	0.0
7	NC_045512	2697049.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes;Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae;Betacoronavirus; Sarbecovirus.	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	30277	Riboviria	undefined	undefined	Betacoronavirus	0.0	ssRNA	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	ssRNA(+)	0.0	0.0	30277.0	0.0
8	NC_046965	2569586.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes;Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae;Gammacoronavirus; unclassified Gammacoronavirus	Canada goose coronavirus strain Cambridge_Bay_2017, complete genome	28896	Riboviria	undefined	undefined	Gammacoronavirus	0.0		Canada goose coronavirus	Canada goose coronavirus	dsRNA	0.0	0.0	28896.0	0.0
9	NC_046965	2569586.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes;Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae;Gammacoronavirus; unclassified Gammacoronavirus.	Canada goose coronavirus strain Cambridge_Bay_2017, complete genome	28896	Riboviria	undefined	undefined	Gammacoronavirus	0.0		Canada goose coronavirus	Canada goose coronavirus	dsRNA	0.0	0.0	28896.0	0.0
10	NC_030462	2560371.0	Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes;Ortervirales; Caulimoviridae; Badnavirus	Canna yellow mottle-associated virus isolate CaYMAV-Ci, complete genome	7054	Riboviria	undefined	undefined	 Caulimoviridae	0.0	dsDNA-RT	Canna yellow mottle associated virus	Canna yellow mottle associated virus	dsRNA	0.0	0.0	7054.0	1.0
11	NC_029303	2560349.0	Viruses; Riboviria; Pararnavirae; Artverviricota; Revtraviricetes;Ortervirales; Caulimoviridae; Badnavirus	Blackberry Virus F isolate BBV-3X, complete genome	7759	Riboviria	undefined	undefined	 Caulimoviridae	0.0	dsDNA-RT	Blackberry virus F	Blackberry virus F	dsRNA	0.0	0.0	7759.0	1.0
516	NC_040704	2082586.0	Viruses;dsRNA viruses;Totiviridae;unclassified Totiviridae;Sogatella furcifera totivirus 2	Sogatella furcifera totivirus 2, complete genome	6382	Riboviria	undefined	undefined	unclassified Totiviridae	0.0	dsRNA	Sogatella furcifera totivirus 2	Sogatella furcifera totivirus 2	dsRNA	0.0	0.0	6382.0	1.0
1840	NC_003631	31503.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Aumaivirus;Maize aumaivirus 1;Satellite maize white line mosaic virus	Satellite virus of maize white line mosaic virus, complete genome	1183	Riboviria	undefined	undefined	Maize aumaivirus 1	0.0	ssRNA	Maize aumaivirus 1	Satellite maize white line mosaic virus	ssRNA(+)	0.0	0.0	1183.0	1.0
1841	NC_045762	262897.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Caliciviridae;Norovirus;Norwalk virus;Norovirus GIV	Norovirus GIV genotype GIV.2 nonstructural polyprotein (ORF1), VP1 (ORF2), and VP2 (ORF3) genes, complete cds	7937	Riboviria	undefined	undefined	Norwalk virus	0.0		Norwalk virus	Norovirus GIV	dsRNA	0.0	0.0	7937.0	1.0
1842	NC_046959	2116442.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Arnidovirineae;Arteriviridae;unclassified Arteriviridae;Guangdong greater green snake arterivirus	Guangdong greater green snake arterivirus strain LPSG2430 1ab protein, putative glycoprotein, and hypothetical protein genes, complete cds	18641	Riboviria	undefined	undefined	unclassified Arteriviridae	0.0		Ptyasnivirus 1	Guangdong greater green snake arterivirus	dsRNA	0.0	0.0	18641.0	0.0
1843	NC_046958	2116440.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Arnidovirineae;Arteriviridae;unclassified Arteriviridae;Hainan oligodon formosanus arterivirus	Hainan oligodon formosanus arterivirus strain LPSF32245 1ab protein, putative glycoprotein, and hypothetical protein genes, complete cds	15493	Riboviria	undefined	undefined	unclassified Arteriviridae	0.0		Oligodon snake nidovirus 1	Hainan oligodon formosanus arterivirus	dsRNA	0.0	0.0	15493.0	1.0
1844	NC_046960	2116441.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Arnidovirineae;Arteriviridae;unclassified Arteriviridae;Nanhai ghost shark arterivirus	Nanhai ghost shark arterivirus strain NHYJS6157 1ab protein, putative glycoprotein, and hypothetical protein genes, complete cds	13327	Riboviria	undefined	undefined	unclassified Arteriviridae	0.0		Nangarvirus 1	Nanhai ghost shark arterivirus	dsRNA	0.0	0.0	13327.0	1.0
1845	NC_046957	2116443.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Arnidovirineae;Arteriviridae;unclassified Arteriviridae;Wuhan japanese halfbeak arterivirus	Wuhan japanese halfbeak arterivirus strain DSYS15584 1A, 1b protein, and hypothetical protein genes, complete cds	18467	Riboviria	undefined	undefined	unclassified Arteriviridae	0.0		Halfbeak nidovirus 1	Wuhan japanese halfbeak arterivirus	dsRNA	0.0	0.0	18467.0	0.0
1846	NC_046954	2050018.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Cornidovirineae;Coronaviridae;Coronavirinae;unclassified coronaviruses;Rodent coronavirus	Rodent coronavirus isolate RtMruf-CoV-2/JL2014 ORF1ab polyprotein, hemagglutinin-esterase protein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds	31786	Riboviria	undefined	undefined	unclassified coronaviruses	0.0		Rodent coronavirus	Rodent coronavirus	dsRNA	0.0	0.0	31786.0	0.0
1847	NC_046955	2050019.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Cornidovirineae;Coronaviridae;Coronavirinae;unclassified coronaviruses;Shrew coronavirus	Shrew coronavirus isolate Shrew-CoV/Tibet2014 ORF1ab polyprotein, spike glycoprotein, envelope protein, membrane protein, and nucleocapsid protein genes, complete cds	27441	Riboviria	undefined	undefined	unclassified coronaviruses	0.0		Shrew coronavirus	Shrew coronavirus	dsRNA	0.0	0.0	27441.0	0.0
1848	NC_046964	2492658.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Alphacoronavirus;unclassified Alphacoronavirus;Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015	Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015, complete genome	28480	Riboviria	undefined	undefined	unclassified Alphacoronavirus	0.0		Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015	Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015	dsRNA	0.0	0.0	28480.0	0.0
1849	NC_046963	2116384.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Tornidovirineae;Tobaniviridae;Torovirinae;Torovirus;unclassified Torovirus;Guangdong red-banded snake torovirus	Guangdong red-banded snake torovirus strain LPSF30546 1ab protein, spike protein, hypothetical protein, and putative glycoprotein genes, complete cds	31245	Riboviria	undefined	undefined	unclassified Torovirus	0.0		Guangdong red-banded snake torovirus	Guangdong red-banded snake torovirus	dsRNA	0.0	0.0	31245.0	0.0
1850	NC_046962	2116385.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Tornidovirineae;Tobaniviridae;Torovirinae;Torovirus;unclassified Torovirus;Hainan hebius popei torovirus	Hainan hebius popei torovirus strain LPSC33749 1ab protein, spike protein, and hypothetical protein genes, complete cds	29777	Riboviria	undefined	undefined	unclassified Torovirus	0.0		Hainan hebius popei torovirus	Hainan hebius popei torovirus	dsRNA	0.0	0.0	29777.0	0.0
1851	NC_046956	2301728.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Nidovirales;Tornidovirineae;Tobaniviridae;Torovirinae;unclassified Torovirinae;Bellinger River virus	Bellinger River virus isolate J248, complete genome	31127	Riboviria	undefined	undefined	unclassified Torovirinae	0.0		Bellinger River virus	Bellinger River virus	dsRNA	0.0	0.0	31127.0	0.0
1854	NC_043177	190503.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Potyviridae;unassigned Potyviridae;Spartina mottle virus	Spartina mottle virus from Germany polyprotein gene, partial cds	1656	Riboviria	undefined	undefined	unassigned Potyviridae		ssRNA	Spartina mottle virus	Spartina mottle virus	ssRNA(+)	0.0	0.0	1656.0	1.0
1855	NC_043498	230604.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Sarthroviridae;Macronovirus;Macrobrachium satellite virus 1;Extra small virus	Macrobrachium rosenbergii XSV virus isolate M23 capsid protein gene, complete cds	805	Riboviria	undefined	undefined	Macrobrachium satellite virus 1	0.0	ssRNA	Macrobrachium satellite virus 1	Extra small virus	ssRNA(+)	0.0	0.0	805.0	1.0
1856	NC_004045	198589.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;unclassified ssRNA positive-strand viruses;Beet western yellows ST9 associated virus	Beet western yellows ST9 associated virus P1a-P1b and P1a genes, complete cds	2880	Riboviria	undefined	undefined	unclassified ssRNA positive-strand viruses	0.0	ssRNA	Beet western yellows ST9 associated virus	Beet western yellows ST9 associated virus	ssRNA(+)	0.0	0.0	2880.0	1.0
1858	NC_040685	2200716.0	Viruses;ssRNA viruses;ssRNA positive-strand viruses, no DNA stage;Virgaviridae;Tobamovirus;unclassified Tobamovirus;Nopal tobamovirus 2	Opuntia virus 2 isolate Nopal_hec Mex, complete genome	6534	Riboviria	undefined	undefined	unclassified Tobamovirus	0.0	ssRNA	Opuntia virus 2	Opuntia virus 2	ssRNA(+)	0.0	0.0	6534.0	1.0
1864	NC_032735	1923249.0	Viruses;unclassified RNA viruses;unclassified RNA viruses ShiM-2016;Hubei tetragnatha maxillosa virus 7	Hubei tetragnatha maxillosa virus 7 strain SSZZ3468 1ab, putative structural polyprotein, and hypothetical protein genes, complete cds	20113	Riboviria	undefined	undefined	unclassified RNA viruses ShiM-2016	0.0	OtherVirus	Hubei tetragnatha maxillosa virus 7	Hubei tetragnatha maxillosa virus 7	dsRNA	0.0	0.0	20113.0	0.0
1865	NC_032878	1923301.0	Viruses;unclassified RNA viruses;unclassified RNA viruses ShiM-2016;Hubei toti-like virus 13	Hubei toti-like virus 13 strain QTM25941 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	6372	Riboviria	undefined	undefined	unclassified RNA viruses ShiM-2016	0.0	OtherVirus	Hubei toti-like virus 13	Hubei toti-like virus 13	dsRNA	0.0	0.0	6372.0	1.0
2190	NC_030201	1848042.0	Viruses; Riboviria; dsRNA viruses; unclassified dsRNA viruses	Fusarium poae dsRNA virus 2 isolate SX63, complete genome	9518	Riboviria	undefined	undefined	dsRNAviruses	0.0	dsRNA	Fusarium poae dsRNA virus 2	Fusarium poae dsRNA virus 2	dsRNA	0.0	0.0	9518.0	1.0
2196	NC_030202	1848169.0	Viruses; Riboviria; dsRNA viruses; unclassified dsRNA viruses	Fusarium poae dsRNA virus 3 isolate SX63, complete genome	9419	Riboviria	undefined	undefined	dsRNAviruses	0.0	dsRNA	Fusarium poae dsRNA virus 3	Fusarium poae dsRNA virus 3	dsRNA	0.0	0.0	9419.0	1.0
2201	NC_030294	1170424.0	Viruses; Riboviria; unclassified Riboviria; unclassified ssRNA viruses; unclassified ssRNA positive-strand viruses; Negevirus	Negev virus genes for hypothetical proteins, complete cds, strain: PL17	9537	Riboviria	undefined	undefined	undefined	0.0	ssRNA	Negev virus	Negev virus	ssRNA(+)	0.0	0.0	9537.0	1.0
2215	NC_030235	1648484.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; environmental samples	Antarctic picorna-like virus 4 nonstructural protein and structural protein genes, complete cds	9168	Riboviria	Picornavirales	undefined	undefined	0.0	ssRNA	Antarctic picorna-like virus 4	Antarctic picorna-like virus 4	ssRNA(+)	0.0	0.0	9168.0	1.0
2216	NC_030234	1648483.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; environmental samples	Antarctic picorna-like virus 3 nonstructural protein gene, complete cds	8644	Riboviria	Picornavirales	undefined	undefined	0.0	ssRNA	Antarctic picorna-like virus 3	Antarctic picorna-like virus 3	ssRNA(+)	0.0	0.0	8644.0	1.0
2217	NC_030233	1648482.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; environmental samples	Antarctic picorna-like virus 2 nonstructural protein and structural protein genes, complete cds	9357	Riboviria	Picornavirales	undefined	undefined	0.0	ssRNA	Antarctic picorna-like virus 2	Antarctic picorna-like virus 2	ssRNA(+)	0.0	0.0	9357.0	1.0
2218	NC_030232	1648481.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; environmental samples	Antarctic picorna-like virus 1 nonstructural protein and structural protein genes, complete cds	8531	Riboviria	Picornavirales	undefined	undefined	0.0	ssRNA	Antarctic picorna-like virus 1	Antarctic picorna-like virus 1	ssRNA(+)	0.0	0.0	8531.0	1.0
2226	NC_030228	1746074.0	Viruses; Riboviria; unclassified Riboviria; unclassified ssRNA viruses; unclassified ssRNA positive-strand viruses	Xinzhou spider virus 3 strain XZZZ-3 polyprotein gene, complete cds	20433	Riboviria	undefined	undefined	undefined	0.0	ssRNA	Xinzhou spider virus 3	Xinzhou spider virus 3	ssRNA(+)	0.0	0.0	20433.0	0.0
2227	NC_030227	1746069.0	Viruses; Riboviria; unclassified Riboviria; unclassified ssRNA viruses; unclassified ssRNA positive-strand viruses	Wuhan centipede virus strain WHWG-11 polyprotein gene, complete cds	23676	Riboviria	undefined	undefined	undefined	0.0	ssRNA	Wuhan centipede virus	Wuhan centipede virus	ssRNA(+)	0.0	0.0	23676.0	0.0
2270	NC_027208	1661062.0	Viruses; Riboviria; unclassified Riboviria; unclassified ssRNA viruses; Fusariviridae	Sclerotinia sclerotiorum fusarivirus 1 strain JMTJ14, complete genome	7769	Riboviria	undefined	undefined	unclassifiedssRNAviruses	0.0	ssRNA	Sclerotinia sclerotiorum fusarivirus 1	Sclerotinia sclerotiorum fusarivirus 1	ssRNA(+)	0.0	0.0	7769.0	1.0
2292	NC_027126	1654355.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; unclassified Picornavirales	Kilifi Virus putative polyprotein gene, complete cds	8865	Riboviria	Picornavirales	undefined	undefined	0.0	ssRNA	Kilifi Virus	Kilifi Virus	ssRNA(+)	0.0	0.0	8865.0	1.0
2363	NC_027428	1054649.0	Viruses; Riboviria; dsRNA viruses; unclassified dsRNA viruses	Beauveria bassiana RNA virus 1, complete genome	3218	Riboviria	undefined	undefined	dsRNAviruses	0.0	dsRNA	Beauveria bassiana RNA virus 1	Beauveria bassiana RNA virus 1	dsRNA	0.0	0.0	3218.0	1.0
2365	NC_027427	1670975.0	Viruses; Riboviria; dsRNA viruses; unclassified dsRNA viruses	Ustilaginoidea virens unassigned RNA virus HNND-1, complete genome	2903	Riboviria	undefined	undefined	dsRNAviruses	0.0	dsRNA	Ustilaginoidea virens unassigned RNA virus HNND-1	Ustilaginoidea virens unassigned RNA virus HNND-1	dsRNA	0.0	0.0	2903.0	1.0
2366	NC_027432	1667384.0	Viruses; Pospiviroidae; Pospiviroid; unclassified Pospiviroid	Portulaca latent viroid isolate Vd21, complete genome	351	Riboviria	undefined	undefined	undefined	0.0	Viroid	Portulaca latent viroid	Portulaca latent viroid	dsRNA	0.0	0.0	351.0	1.0
